"ID","Type","Name","Documentation","Specialization"
"id-47e42b8c13044ca9987615bcd5cc3498","ArchimateModel","archiAgent","",""
"id-e92b2520dd5b4bccb40049ee349c62ea","BusinessActor","Consumer","Consumers (Business Actor) are individuals that either buy product from eCom sites selecting logyCorp as delivery option, or send parcels to other individuals via logyCorp.",""
"id-9892256d0e214fd7a3b378015d7dd64a","BusinessActor","Delivery Driver","Delivery Driver (Business Actor) is a logyCorp employee that drives a van (first or last mile delivery) or lorry (linehaul between logyCorp terminals). Delivery Drivers use Mobile Scanners running Transport Management System.",""
"id-1b8b11f603984be38629423f6e69beb0","BusinessActor","Warehouse Staff","Warehouse Staff (Business Actor) is a logyCorp employee that handles parcels in terminals. Warehouse Staff use Mobile Scanners running logyCorp ERP.",""
"id-bc94b46c98094148b0113a71c0b3e07c","BusinessProcess","Buy product delivered from eCom","When consumers select logyCorp as delivery provider in eCom webshop, they can select the service point they would want their parcel delivered to buy inputting their desired location. By buying the product from eCom with logyCorp as the selected delivery provider, the consumer instructs the eCom to use logyCorp for delivery. The eCom, not the consumer, is the customer of the parcel delivery from logyCorp. logyCorp deliveres the parcel to the consumer, not the eCom.",""
"id-343d3f1769a04e3db6860336a19449ca","BusinessProcess","Fetch parcel from parcel locker stated using fetch code stated","When consumer receives a fetch notification and fetch code, the consumer knows to go fetch their parcel from the parcel locker using the given fetch code. When the consumer has fetched their parcel from the parcel locker a ""Consignment fetched by consumer"" event log is created, ending the delivery.",""
"id-058b9cfab72d4efa9477f2b6b244975b","BusinessProcess","Load parcel from chute to route trolley cage","Warehouse Staff scan a parcel in the chute to find the trolley cage the parcel should be consolidated to. Warehouse Staff consolidate the parcel to a the designated trolley cage.",""
"id-e8da6e0724ac4565856642cabec2ed42","BusinessProcess","Load route trolley cage into vehicle and start delivery route","When delivery driver scans a trolley cage that returns consignment log with ""Ready for delivery"" for the delivery route of the delivery driver, the delivery driver loads the trolley cage into their vehicle using Mobile Scanner running Transport Management System. Delivery Driver loads trolleys storing consolidated parcels to vehicle for either linehaul to another logyCorp terminal or the last mile delivery to service point using Mobile Scanner running Transport Management System. Loading a consolidated unit to a vehicle records the ""loaded to delivery"" event to each parcel consolidated. ",""
"id-462411beb55d44168d2540fcd260c1c0","BusinessProcess","Load trolley cage into vehicle","Delivery driver scans the consolidated trolley cage of parcels with Transport Management System run in Mobile Scanner as loaded to vehicle. ",""
"id-0fe1c0173a244e9fbc141714230ad1cb","BusinessProcess","Shelve parcels into parcel locker","Delivery Driver loads parcels into parcel lockers using Transport Management System running on Mobile Scanner. Parcel locker door is opened via an admin code known by delivery drivers. The delivery driver scans each parcel shelved into a parcel locker with the Mobile Scanner running Transport Management System to log ""At service point"" status to the parcel. Transport Management System stores the status in logyCorp ERP consignment event log.",""
"id-9fd60d83ac5d4034a9c2a28d750adfb6","BusinessProcess","Unload trolley cage's parcels into sorter","When the delivery driver delivers a trolley cage to logyCorp terminal, logyCorp's warehouse staff unload the trolley cage's parcels into the terminal's sorter.",""
"id-36aef7017bb54a75b437d5d000f41bfb","ApplicationComponent","eCom platform","eCom platforms (external Application Components are usually Shopify or WooCommerce. Larger eCom businesses usually create their own eCom platform, often heavily dependent on their ERP system. Smaller eCom businesses start with just eCom platforms and do custom business processess (like making a transport order to logyCorp) manually.",""
"id-cf26ff3812194954ac8d3d8259be3383","ApplicationComponent","eCom's ERP","eCom's ERP (Application Component) is often a Warehouse Management System (WMS) that maintains the eCom's warehouse stock of products. Larger eCom's usually treat the eCom platform as an I/O slave to their WMS. Smaller eCom's usually use their eCom platform as WMS (e.g., to store warehouse stock). ",""
"id-e658c32b647d45c6b256bc71ec0a3692","ApplicationComponent","logyCorp ERP","logyCorp ERP (Application Component) is a Java Monolith with a monolithic relational database. Using a three-layer architecture (Interface, Business Logic, Database), the ERP takes input from several systems (e.g., Transport Management System) and interfaces (Service Point API, Orders API, Notifications API), processess them with its business logic, and then stores in the database. This ensures that the master state is in the ERP's database, that the master business logic is the ERP's, and all systems recording consignment status events (e.g., Transport Management System, Orders API, Sorter, Mobile Scanner, Parcel Locker, etc.) will be centralised in the logyCorp ERP. These systems will also not have their own state of consignments, acting as I/O slaves of the ERP. logyCorp is hosted on AWS EC2-instances, load balanced with AWS ELB.",""
"id-801c6ffcd7b945e98574f4b4bfbcaee7","ApplicationComponent","SMS Gateway service","SMS Gateway service (Application Component) is a SaaS-service for sending SMS messages, used by Notifications API. SMS Gateway only sends, does not receive, SMS messages.",""
"id-4eece93cdf324044a7a1a67e06532b40","ApplicationComponent","Transport Management System","Transport Management System (Application Component) is a separate system from logyCorp ERP but all consignment data is stored solely in logyCorp ERP and fetched from there. Transport Management System creates routes, their stops, and stores delivery driver events logged from Mobile Scanners.",""
"id-3e250ffd4ada4efcaab40e5bdcb1a1d5","ApplicationEvent","Consignment at service point","""At service point"" status will be added as the newest event in the consignment event log.",""
"id-8a0fdfcb56ba4541b80c0306002bd0e2","ApplicationEvent","Consignment consolidated","""Consolidated"" status and one-to-many foreign key with the consolidation id of the delivery trolley cage, stored in logyCorp ERP, will be added as the newest event in the consignment event log.",""
"id-d1b1aa026fc34723bdf53e28b4ca9e49","ApplicationEvent","Consignment created","""Created"" status will be added as the newest event in the consignment event log.",""
"id-a3f02044446a4ac2907c0c4a2a548386","ApplicationEvent","Consignment fetch notified","""Fetch notified"" status will be added as the newest event in the consignment event log.",""
"id-50985de30af64e1bbb87a0ac47e84920","ApplicationEvent","Consignment fetched by consumer","""Fetched by consumer"" status will be added as the newest event in the consignment event log.",""
"id-0f25c14fce9947d6a7a140fa6abd6426","ApplicationEvent","Consignment fetched from warehouse","""Fetched from warehouse"" status will be added retroactively once the parcel is scanned by sorter as the newest event in the consignment event log.",""
"id-9175f39a0eae480e8838c1e639807d8d","ApplicationEvent","Consignment measured","""Measured"" status and measures will be added as the newest event in the consignment event log. ",""
"id-c546c9bb32894e889312b8a99e5c6a59","ApplicationEvent","Consignment ready for delivery","""Ready for delivery"" status will be added as the newest event in the consignment event log.",""
"id-ec78c4ba48624cd2aede15a70189bfdd","ApplicationEvent","Consignment sorted","""Sorted"" status will be added as the newest event in the consignment event log. ",""
"id-420056dfa61e4e0fbe3a3299d173f2b5","ApplicationInterface","Notifications API","Notifications API (Application Interface) handles SMS Gateways, emails, and alerts in partner systems for logyCorp ERP. Notifications API is a REST API of logyCorp ERP. logyCorp ERP sends, for example, fetch code and notification SMS to consumer via Notifications API through using SMS Gateway service. Notifications API only sends, does not receive, messages.",""
"id-87ec15d8a64546289876d6600eafd035","ApplicationInterface","Orders API","Orders API (Application Interface) collect consignment orders from either eComs or logyCorp's internal services. Orders API is a REST API that serves the logyCorp ERP with an CRUD operation to an order. Creating an order will make a new consignment in the logyCorp ERP. Reading an order will return its status events. Updating an order will update the service point, consumer information, eCom information, delivery product, or deactivate the delivery. Deleting an order will delete the record of the order. Consignment events are recorded via point-to-point APIs beween logyCorp ERP and systems.",""
"id-e74ea56febfc46cd80d2d7e97215e19a","ApplicationInterface","Service Point API","Service Point API (Application Interface) serves the eCom platform service points closest to the selected address. Service Point API is a REST API of logyCorp ERP. The eCom platform often utilises the by showing taking the address as input on the website from the consumer and showing the output service points to the consumer in the website. The eCom platform will bind the consumer's selected service point as the location where the transport order will be delivered to.",""
"id-fcfd5cd8de564744afc583ac2e33e63b","ApplicationProcess","Create consignment","Consignment is created by calling the Orders API. Orders API can be called by logyCorp's internal services or eComs. Creating a consignment sets consignment event to ""created"".",""
"id-33c2a5cb773e480da81ac7fadc1772f4","ApplicationProcess","Create transport order","Transport order is the eCom's record of a product needing to be delivered; a promise to create a consignment with logyCorp - logyCorp does not know of the eCom's transport orders before they become consigments via the Orders API. Transport order compiles consumer service point and contact details needed for creating a consignment.",""
"id-6a9116fb62914b6f966fa40a3e7dcc58","ApplicationProcess","Create transport stop","Transport Management System creates a transport stop for the consignment triggered by the logyCorp ERP when a consignment is created.",""
"id-0c4a0f0066ec4502b5aab0549f4e61a6","ApplicationProcess","Notify of fetchable parcel and fetch code","When consignment is at ""At service point"" status, logyCorp ERP sends a notification and fetch code to the consumer via Notifications API using SMS Gateway service. When the Notifications API confirms a successful message delivery to logyCorp ERP, logyCorp ERP creates a ""Consignment fetch is notified"" event log.",""
"id-52e37c3f8a824a5d81176562bc165cb5","Equipment","Mobile Scanner","Mobile Scanners are MDM-managed Android phones running logyCorp ERP for warehouse staff and Transport Management System for delivery drivers.",""
"id-2c9bcd560a6b448b810e2d5cc2a8a718","Equipment","Parcel Locker","Parcel Locker (Equipment) is a logyCorp service point type. logyCorp has parcel lockers and parcel stores as service points. Consignments are loaded to parcel lockers by delivery drivers and consignments are fetched from parcel lockers by consumers who have the consigments fetch code, generated and sent bt logyCorp ERP. ",""
"id-9b9786d4714f4ef98e044cee5511e69c","Equipment","Sorter","Sorter (Equipment) is a terminal spanning conveyor belt with chutes. The input of the sorter stores a measure of parcel's dimensions (cubes) to logyCorp ERP  and scans it to read the parcel's delivery postcode from logyCorp ERP. logyCorp ERP maintains a postcode-chute reference table for each sorter that sorters query. The sorter pushes the parcel to the correct chute on the conveyor belt. From the chute warehouse staff read parcels with mobile scanners running logyCorp ERP to find the trolley cage the parcel should be consolidated to.",""
