"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-71f3879900434b9cba609611cf4f2334","AssignmentRelationship","Consumer - Buy product delivered from eCom","Consumer buys a product from eCom","id-e92b2520dd5b4bccb40049ee349c62ea","id-bc94b46c98094148b0113a71c0b3e07c",""
"id-44e68744fb6a4459a41de3fba9bd80f8","AssignmentRelationship","Consumer - Fetch parcel from parcel locker stated using fetch code stated","Consumer fetches parcel from parcel locker using fetch code","id-e92b2520dd5b4bccb40049ee349c62ea","id-343d3f1769a04e3db6860336a19449ca",""
"id-457cb0a7a8cb4d8ab3da941933269254","AssignmentRelationship","Delivery Driver - Load route trolley cage into vehicle and start delivery route","Delivery Driver uses Mobile Scanner running Transportation Management System to scan whether the route delivery trolley cage next to their loading bay is for their delivery route. If yes, Delivery Driver uses Mobile Scanner running Transportation Management System to load trolley cage into vehicle. Once all trolley cages are loaded to vehicle, marks delivery route drive to have started on delivery driver starts driving delivery route on Mobile Scanner running Transport Management System ","id-9892256d0e214fd7a3b378015d7dd64a","id-e8da6e0724ac4565856642cabec2ed42",""
"id-3c2772b115fd4d1f8dc4ad960a49db14","AssignmentRelationship","Delivery Driver - Load trolley cage into vehicle","Delivery Driver loads trolley cage from eCom's warehouse to delivery van using Mobile Scanner running Transport Management System","id-9892256d0e214fd7a3b378015d7dd64a","id-462411beb55d44168d2540fcd260c1c0",""
"id-64cba11f5ba94a509bf6ecd1104cb481","AssignmentRelationship","Delivery Driver - Shelve parcels into parcel locker","Delivery Driver loads parcels into parcel lockers using Transport Management System running on Mobile Scanner","id-9892256d0e214fd7a3b378015d7dd64a","id-0fe1c0173a244e9fbc141714230ad1cb",""
"id-2628b493f7fa428f8cf237190b81d0cd","AssignmentRelationship","Warehouse Staff - Load parcel from chute to route trolley cage","Warehouse Staff scan a parcel in the chute to find the trolley cage the parcel should be consolidated to. Warehouse Staff consolidate the parcel to a the designated trolley cage.","id-1b8b11f603984be38629423f6e69beb0","id-058b9cfab72d4efa9477f2b6b244975b",""
"id-eabee61dd7fc48059456c898c29af38a","AssignmentRelationship","Warehouse Staff - Unload trolley cage's parcels into sorter","Warehouse Staff unload the delivery van's trolley cage's from eCom warehouses and unload their parcels into the sorter that scans and measures them","id-1b8b11f603984be38629423f6e69beb0","id-9fd60d83ac5d4034a9c2a28d750adfb6",""
"id-fffb8d74a3504b1ab4c0c35816badff1","FlowRelationship","eCom platform - eCom's ERP","if eCom has ERP, that ERP makes the order to logyCorp's Order API from the information the consumer selected in the eCom platform GUI","id-36aef7017bb54a75b437d5d000f41bfb","id-cf26ff3812194954ac8d3d8259be3383",""
"id-59c6aeb8d5714e849506dcaad08d0d21","FlowRelationship","eCom's ERP - Orders API","eCom's ERP automatically populates the Orders API call - the eCom can either automatically trigger or manually approve these Orders API calls ","id-cf26ff3812194954ac8d3d8259be3383","id-87ec15d8a64546289876d6600eafd035",""
"id-3095b3e3c5a54347a1ed73e6dc2c73ce","FlowRelationship","logyCorp ERP - Sorter","The sorter gets the parcel's chute from logyCorp ERP","id-e658c32b647d45c6b256bc71ec0a3692","id-9b9786d4714f4ef98e044cee5511e69c",""
